epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,1554.21,0.82225,1.39597,0.72146,1.0502,0,0.84031,0.73494,0.7864,0.58275,0.75373,0.63454,0.62855,0.21445,1.01397,1.17012,1.0286,1.06048,0,0.00101,0.00101,0.00101
52,1746.93,0.83594,1.41153,0.73993,1.0617,0,0.84721,0.71262,0.78166,0.57974,0.73529,0.61847,0.61943,0.21035,0.98743,1.18471,1.02349,1.0625,0,0.0009902,0.0009902,0.0009902
53,1939.04,0.84016,1.37625,0.73774,1.05622,0,0.83932,0.7552,0.79047,0.57872,0.7669,0.65462,0.64579,0.21342,1.02405,1.1547,1.01092,1.07802,0,0.0009704,0.0009704,0.0009704
54,2132.07,0.84236,1.39139,0.74207,1.06088,0,0.84078,0.72103,0.7853,0.5865,0.76038,0.64995,0.65929,0.21512,1.01137,1.17643,1.04503,1.06128,0,0.0009506,0.0009506,0.0009506
55,2324.06,0.8333,1.41915,0.73622,1.05264,0,0.83169,0.71443,0.79157,0.58681,0.73801,0.63352,0.65302,0.21771,0.97836,1.1576,1.03257,1.06037,0,0.0009308,0.0009308,0.0009308
56,2517.63,0.82803,1.39557,0.73047,1.05011,0,0.82181,0.73092,0.78756,0.58623,0.73516,0.65462,0.64004,0.20719,1.00043,1.15561,1.02664,1.0754,0,0.000911,0.000911,0.000911
57,2709.18,0.82555,1.40019,0.72008,1.04457,0,0.84768,0.71522,0.79234,0.58734,0.75138,0.62651,0.63174,0.20059,0.97879,1.17961,0.99851,1.06798,0,0.0008912,0.0008912,0.0008912
58,2902.35,0.81499,1.38456,0.70904,1.04009,0,0.829,0.72691,0.78664,0.57038,0.74368,0.60591,0.61694,0.1978,0.99198,1.1901,1.01604,1.06921,0,0.0008714,0.0008714,0.0008714
59,3094.29,0.82348,1.39674,0.71571,1.04808,0,0.84275,0.73494,0.81532,0.59593,0.72596,0.63052,0.65728,0.21999,1.00367,1.1681,0.98244,1.07851,0,0.0008516,0.0008516,0.0008516
60,3287.69,0.81555,1.39707,0.70712,1.04277,0,0.8187,0.71888,0.78472,0.58175,0.71115,0.63855,0.62221,0.21421,1.00812,1.21375,1.01967,1.08018,0,0.0008318,0.0008318,0.0008318
61,3479.3,0.81143,1.38411,0.71067,1.04042,0,0.82711,0.74929,0.81037,0.59485,0.75177,0.64659,0.65082,0.21233,1.00325,1.18213,0.95831,1.06408,0,0.000812,0.000812,0.000812
62,3671.42,0.79485,1.35404,0.70026,1.04385,0,0.84932,0.72691,0.80667,0.60502,0.76393,0.64257,0.65833,0.22298,0.96988,1.16825,0.94628,1.05409,0,0.0007922,0.0007922,0.0007922
63,3864.4,0.80913,1.37945,0.70655,1.04215,0,0.81688,0.76305,0.79698,0.58467,0.74478,0.63855,0.66126,0.22161,1.00062,1.19609,1.00471,1.04418,0,0.0007724,0.0007724,0.0007724
64,4057.78,0.81946,1.38095,0.70912,1.04485,0,0.78988,0.78715,0.80108,0.59167,0.6851,0.68273,0.63761,0.21322,0.9947,1.19493,1.00255,1.04753,0,0.0007526,0.0007526,0.0007526
65,4249.75,0.83576,1.40543,0.72147,1.05388,0,0.79998,0.74699,0.79279,0.59224,0.74655,0.62651,0.65076,0.21342,0.97113,1.16028,0.98013,1.05006,0,0.0007328,0.0007328,0.0007328
66,4442.35,0.82511,1.3921,0.71876,1.05435,0,0.85618,0.69337,0.78118,0.57679,0.76209,0.60643,0.60469,0.2002,0.97743,1.18269,1.00612,1.06466,0,0.000713,0.000713,0.000713
67,4634.49,0.82571,1.3789,0.72748,1.05136,0,0.8378,0.72605,0.80249,0.58069,0.71544,0.61594,0.62757,0.20441,0.98267,1.17068,0.99761,1.06212,0,0.0006932,0.0006932,0.0006932
68,4827.36,0.82568,1.40225,0.71641,1.05811,0,0.83976,0.72691,0.78565,0.58919,0.74854,0.64659,0.64335,0.21266,0.99925,1.16713,1.01041,1.06391,0,0.0006734,0.0006734,0.0006734
